ID,GeneName,Community
3563,KCTD1,6
3569,KCTD15,6
3571,KCTD18,6
3586,KDM3A,6
3587,KDM3B,6
3590,KDM5A,6
3592,KDM5C,6
3598,KHNYN,6
3599,KHSRP,6
3607,KIAA1191,6
3612,KIAA2026,6
3613,KIDINS220,6
3616,KIF13A,6
3618,KIF1A,6
3623,KIF22,6
3630,KIFAP3,6
3640,KLF13,6
3645,KLF4,6
3651,KLHDC2,6
3657,KLHL14,6
3659,KLHL20,6
3663,KLHL24,6
3664,KLHL26,6
3665,KLHL36,6
3669,KLHL9,6
3679,KMT2A,6
3681,KMT2C,6
3683,KMT2E,6
3685,KMT5B,6
3697,KRBOX4,6
3700,KREMEN2,6
3714,KTN1,6
3732,LAMP2,6
3737,LAMTOR3,6
3740,LANCL1,6
3741,LANCL2,6
3747,LARP1,6
3753,LAS1L,6
3760,LCLAT1,6
3761,LCMT1,6
3767,LDB1,6
3771,LDLRAD3,6
3773,LDOC1,6
3800,LHX1,6
3809,LIN7C,6
3819,LMAN2L,6
3820,LMBR1,6
3831,LMTK2,6
3834,LNX2,6
3835,LONP1,6
3836,LONP2,6
3838,LONRF2,6
3844,LPAR2,6
3859,LRATD1,6
3866,LRIF1,6
3867,LRIG1,6
3871,LRP3,6
3872,LRP5,6
3873,LRP6,6
3876,LRRC1,6
3879,LRRC20,6
3886,LRRC45,6
3887,LRRC47,6
3892,LRRC61,6
3918,LTA4H,6
3923,LTBP4,6
3927,LTN1,6
3930,LUC7L2,6
3931,LUC7L3,6
3944,LYPD6,6
3954,LYSMD3,6
3958,LZTS2,6
3960,M1AP,6
3962,MAB21L4,6
3965,MACIR,6
3981,MAGED1,6
3982,MAGED2,6
3983,MAGEF1,6
3984,MAGEH1,6
3988,MAGT1,6
3989,MAIP1,6
3994,MAML1,6
3997,MAMLD1,6
4006,MANBAL,6
4012,MAP1B,6
4014,MAP1LC3B,6
4015,MAP1S,6
4019,MAP2K4,6
4021,MAP2K7,6
4022,MAP3K1,6
4027,MAP3K20,6
4037,MAP4K3,6
4039,MAP4K5,6
4046,MAPK1IP1L,6
4050,MAPK8,6
4051,MAPK8IP1,6
4052,MAPK8IP3,6
4058,MAPRE2,6
4061,MARCHF5,6
4062,MARCHF6,6
4064,MARCHF8,6
4067,MARCKSL1,6
4069,MARF1,6
4075,MARVELD2,6
4077,MAST3,6
4083,MAU2,6
4085,MAX,6
4088,MBD1,6
4093,MBIP,6
4096,MBNL3,6
4098,MBOAT2,6
4100,MBTD1,6
4101,MBTPS1,6
4102,MCAM,6
4104,MCCC1,6
4116,MCMBP,6
4118,MCRIP1,6
4121,MCTS1,6
4135,MECOM,6
4136,MECP2,6
4141,MED12,6
4159,MED6,6
4160,MED7,6
4167,MEIS1,6
4171,MEPCE,6
4183,METTL18,6
4193,METTL9,6
4195,MEX3C,6
4197,MFAP1,6
4199,MFAP4,6
4226,MIA3,6
4227,MIB1,6
4235,MID1,6
4237,MIDEAS,6
4243,MIER3,6
4251,MINPP1,6
4254,MIS18A,6
4255,MIS18BP1,6
4260,MKKS,6
4265,MLEC,6
4269,MLLT1,6
4281,MMGT1,6
4293,MMS19,6
4295,MNAT1,6
4298,MOAP1,6
4305,MOB4,6
4310,MON1B,6
4312,MORC3,6
4314,MORF4L2,6
4316,MORN4,6
4317,MOSPD1,6
4326,MPHOSPH6,6
4327,MPHOSPH8,6
4329,MPLKIP,6
4332,MPPED2,6
4336,MPV17L2,6
4341,MRE11,6
4345,MRGBP,6
4351,MRPL10,6
4363,MRPL21,6
4364,MRPL22,6
4373,MRPL34,6
4383,MRPL44,6
4401,MRPS16,6
4402,MRPS17,6
4408,MRPS23,6
4410,MRPS26,6
4424,MRTFB,6
4430,MSANTD4,6
4434,MSI1,6
4437,MSL3,6
4445,MSX1,6
4467,MTA1,6
4475,MTF2,6
4485,MTM1,6
4486,MTMR1,6
4489,MTMR2,6
4490,MTMR4,6
4495,MTR,6
4499,MTRR,6
4500,MTSS2,6
4501,MTURN,6
4502,MTX1,6
4513,MX2,6
4517,MXRA5,6
4526,MYCN,6
4545,MYO1D,6
4554,MZF1,6
4558,N4BP1,6
4561,NAA30,6
4575,NADK2,6
4576,NADSYN1,6
4577,NAE1,6
4587,NAPEPLD,6
4590,NARF,6
4592,NARS2,6
4594,NAT10,6
4602,NBDY,6
4625,NCL,6
4627,NCOA1,6
4631,NCOA5,6
4637,NCSTN,6
4647,NDRG2,6
4657,NDUFA5,6
4664,NDUFAF8,6
4689,NECTIN1,6
4700,NEK6,6
4702,NEK9,6
4737,NFX1,6
4741,NGDN,6
4743,NGRN,6
4744,NHLRC1,6
4750,NIF3L1,6
4758,NIPBL,6
4763,NIT1,6
4770,NLN,6
4794,NOL4L,6
4795,NOL6,6
4799,NOLC1,6
4800,NOMO1,6
4801,NONO,6
4807,NOP58,6
4812,NOTCH3,6
4813,NOTUM,6
4814,NOXA1,6
4815,NPAS3,6
4818,NPDC1,6
4819,NPEPPS,6
4823,NPNT,6
4825,NPR2,6
4841,NR2F1,6
4847,NRARP,6
4849,NRBF2,6
4852,NRCAM,6
4854,NRF1,6
4856,NRIP1,6
4861,NRTN,6
4866,NSDHL,6
4874,NSMCE4A,6
4875,NSMF,6
4879,NSUN5,6
4897,NUCKS1,6
4899,NUDCD2,6
4908,NUDT21,6
4910,NUDT4,6
4916,NUMA1,6
4917,NUMB,6
4920,NUP133,6
4927,NUP214,6
4928,NUP35,6
4929,NUP37,6
4934,NUP58,6
4938,NUP93,6
4943,NVL,6
4948,NXT1,6
4950,NYNRIN,6
4960,OBSL1,6
4964,OCRL,6
4967,ODF3B,6
4969,OFD1,6
4970,OGA,6
4973,OGFOD1,6
4974,OGFOD3,6
4976,OGT,6
4977,OLA1,6
4990,ORAI3,6
4992,ORC3,6
4993,ORC4,6
4994,ORC5,6
5002,OSBPL1A,6
5003,OSBPL2,6
5009,OSGEP,6
5026,OXA1L,6
5028,OXLD1,6
5040,P4HA2,6
5044,PAAF1,6
5048,PABPN1,6
5051,PACS2,6
5059,PAFAH1B2,6
5066,PAIP2B,6
5067,PAK1,6
5077,PAM,6
5078,PAN2,6
5079,PAN3,6
5085,PAPOLA,6
5086,PAPSS1,6
5092,PARG,6
5094,PARN,6
5095,PARP1,6
5100,PARP2,6
5116,PBDC1,6
5129,PCDH19,6
5139,PCIF1,6
5145,PCMTD2,6
5165,PDCL,6
5178,PDHA1,6
5181,PDIA3,6
5193,PDPR,6
5197,PDSS2,6
5200,PDZD11,6
5201,PDZD8,6
5212,PELI2,6
5228,PEX19,6
5234,PFDN1,6
5249,PGAP4,6
5257,PGM2L1,6
5261,PGRMC1,6
5263,PGS1,6
5265,PHAX,6
5266,PHB,6
5280,PHF2,6
5286,PHF6,6
5287,PHF8,6
5290,PHKA2,6
5291,PHKB,6
5320,PIGM,6
5327,PIGU,6
5336,PIK3R1,6
5345,PIN4,6
5348,PIP4K2B,6
5350,PIP4P1,6
5363,PJA1,6
5364,PJA2,6
5374,PKNOX1,6
5393,PLCG1,6
5409,PLEKHG3,6
5410,PLEKHG4,6
5411,PLEKHG4B,6
5437,PLPP6,6
5448,PLXNA2,6
5462,PNISR,6
5465,PNMA1,6
5466,PNMA3,6
5467,PNMA8A,6
5468,PNN,6
5474,PNPLA6,6
5481,POC1B,6
5482,POC5,6
5488,POGK,6
5491,POGZ,6
5495,POLD3,6
5499,POLE3,6
5503,POLL,6
5505,POLR1A,6
5506,POLR1B,6
5518,POLR2H,6
5523,POLR2M,6
5524,POLR3A,6
5527,POLR3D,6
5528,POLR3E,6
5533,POM121,6
5534,POM121C,6
5543,POR,6
5544,PORCN,6
5554,PPFIA1,6
5561,PPID,6
5564,PPIG,6
5566,PPIL1,6
5568,PPIL3,6
5571,PPM1A,6
5576,PPME1,6
5581,PPP1R10,6
5584,PPP1R12C,6
5585,PPP1R13B,6
5598,PPP1R26,6
5605,PPP2CA,6
5610,PPP2R2D,6
5614,PPP2R5C,6
5616,PPP2R5E,6
5623,PPP4R3A,6
5626,PPP6C,6
5630,PPRC1,6
5633,PPWD1,6
5642,PRDM4,6
5645,PRDX3,6
5648,PRDX6,6
5653,PREP,6
5654,PREPL,6
5659,PRIMA1,6
5662,PRKAB2,6
5668,PRKAR2B,6
5677,PRKRIP1,6
5681,PRMT5,6
5682,PRMT6,6
5683,PRNP,6
5686,PROSER1,6
5691,PRPF31,6
5694,PRPF39,6
5698,PRPF6,6
5700,PRPS1,6
5707,PRR14,6
5711,PRR3,6
5712,PRR36,6
5713,PRR7,6
5714,PRRC1,6
5716,PRRC2B,6
5717,PRRC2C,6
5720,PRRT3,6
5736,PSAT1,6
5738,PSEN1,6
5741,PSKH1,6
5743,PSMA3,6
5752,PSMB5,6
5757,PSMC1,6
5762,PSMC6,6
5764,PSMD10,6
5779,PSME3IP1,6
5781,PSMF1,6
5782,PSMG1,6
5786,PSPH,6
5794,PTEN,6
5805,PTH2R,6
5826,PTPRA,6
5832,PTPRS,6
5840,PUDP,6
5842,PUM1,6
5843,PUM2,6
5848,PUS7,6
5852,PWWP2A,6
5857,PXMP4,6
5865,PYGO2,6
5875,QRSL1,6
5876,QSER1,6
5878,QSOX2,6
5882,R3HCC1L,6
5888,RAB11B,6
5890,RAB11FIP2,6
5892,RAB11FIP4,6
5903,RAB21,6
5904,RAB22A,6
5910,RAB2B,6
5917,RAB38,6
5921,RAB3GAP2,6
5924,RAB4A,6
5938,RABEPK,6
5939,RABGAP1,6
5947,RAC3,6
5951,RAD17,6
5958,RAD52,6
5960,RAE1,6
5977,RANBP10,6
5978,RANBP2,6
5979,RANBP3,6
5980,RANBP6,6
5991,RAPGEF1,6
6001,RASA1,6
6014,RAVER2,6
6018,RBBP5,6
6019,RBBP6,6
6020,RBBP7,6
6022,RBBP8NL,6
6026,RBIS,6
6027,RBL2,6
6028,RBM10,6
6030,RBM14,6
6033,RBM18,6
6035,RBM22,6
6036,RBM23,6
6037,RBM25,6
6038,RBM26,6
6039,RBM27,6
6040,RBM3,6
6041,RBM33,6
6043,RBM39,6
