node_id,gene_name,community_id,degree,clustering
8208,THAP8,3,755.000000,0.584489
8209,THBD,4,248.000000,0.498498
8210,THBS1,1,69.000000,0.418585
8211,THBS2,1,232.000000,0.618413
8212,THBS3,3,187.000000,0.456673
8213,THBS4,12,56.000000,0.621429
8214,THEM4,15,563.000000,0.449897
8215,THEM5,8,47.000000,0.664200
8216,THEM6,3,120.000000,0.450560
8217,THEMIS2,12,118.000000,0.420397
8218,THG1L,15,568.000000,0.366483
8219,THNSL2,3,93.000000,0.588827
8220,THOC1,15,626.000000,0.405378
8221,THOC2,5,1070.000000,0.459741
8222,THOC5,4,35.000000,0.337815
8223,THOC6,3,711.000000,0.541523
8224,THOC7,3,246.000000,0.295869
8225,THOP1,3,1107.000000,0.483487
8226,THRA,2,389.000000,0.410900
8227,THRAP3,6,1284.000000,0.447915
8228,THRB,4,585.000000,0.411837
8229,THRSP,13,97.000000,0.534364
8230,THSD4,6,795.000000,0.481473
8231,THUMPD1,6,956.000000,0.502206
8232,THUMPD2,5,297.000000,0.392734
8233,THUMPD3,6,1474.000000,0.377198
8234,THY1,1,221.000000,0.546730
8235,THYN1,2,241.000000,0.440837
8236,TIA1,15,445.000000,0.544002
8237,TIAL1,5,603.000000,0.514339
8238,TICAM1,3,185.000000,0.392127
8239,TIE1,4,210.000000,0.492185
8240,TIFA,6,275.000000,0.656987
8241,TIGD2,6,438.000000,0.561215
8242,TIMELESS,5,243.000000,0.394177
8243,TIMM10,3,371.000000,0.672193
8244,TIMM10B,6,514.000000,0.474443
8245,TIMM13,3,746.000000,0.539817
8246,TIMM17A,7,305.000000,0.317472
8247,TIMM17B,3,624.000000,0.520918
8248,TIMM21,5,329.000000,0.370784
8249,TIMM22,3,1004.000000,0.428599
8250,TIMM23,5,379.000000,0.344069
8251,TIMM29,3,1290.000000,0.389283
8252,TIMM44,3,938.000000,0.540244
8253,TIMM50,6,17.000000,0.338235
8254,TIMM8B,3,161.000000,0.404503
8255,TIMM9,3,333.000000,0.348366
8256,TIMMDC1,5,241.000000,0.291494
8257,TIMP1,3,311.000000,0.608941
8258,TIMP2,1,205.000000,0.353659
8259,TIMP3,1,209.000000,0.603193
8260,TIMP4,2,277.000000,0.729320
8261,TINAGL1,4,232.000000,0.528325
